# X, Y, VelX, VelY |[169.; 47.;  0.;  0.][293.;307.; 27.; 23.]
0.28840,0.80619,-0.51852,0.23913
0.24061,0.82410,-0.64815,0.13043
0.18089,0.83388,-0.51852,0.13043
0.13311,0.84365,-0.48148,0.13043
0.08874,0.85342,-0.48148,0.08696
0.04437,0.85993,-0.25926,0.00000
0.02048,0.85993,-0.14815,-0.13043
0.00683,0.85016,0.00000,-0.21739
0.00683,0.83388,0.07407,-0.34783
0.01365,0.80782,0.11111,-0.43478
0.02389,0.77524,0.14815,-0.52174
0.03754,0.73616,0.18519,-0.56522
0.05461,0.69381,0.18519,-0.60870
0.07167,0.64821,0.14815,-0.65217
0.08532,0.59935,0.14815,-0.60870
0.09898,0.55375,0.14815,-0.65217
0.11263,0.50489,0.11111,-0.60870
0.12287,0.45928,0.11111,-0.56522
0.13311,0.41694,0.14815,-0.60870
0.14676,0.37134,0.14815,-0.52174
0.16041,0.33225,0.11111,-0.56522
0.17065,0.28990,0.11111,-0.47826
0.18089,0.25407,0.37037,-0.54348
0.21502,0.21336,0.00000,-0.36957
0.21502,0.18567,0.14815,-0.43478
0.22867,0.15309,0.11111,-0.39130
0.23891,0.12378,0.18519,-0.30435
0.25597,0.10098,0.18519,-0.26087
0.27304,0.08143,0.22222,-0.13043
0.29352,0.07166,0.29630,-0.04348
0.32082,0.06840,0.33333,0.08696
0.35154,0.07492,0.40741,0.13043
0.38908,0.08469,0.44444,0.17391
0.43003,0.09772,0.40741,0.21739
0.46758,0.11401,0.35185,0.23913
0.50000,0.13192,0.44444,0.13043
0.54096,0.14169,0.48148,0.10870
0.58532,0.14984,0.48148,0.00000
0.62969,0.14984,0.37037,0.17391
0.66382,0.16287,0.40741,0.04348
0.70137,0.16612,0.38889,0.06522
0.73720,0.17101,0.27778,0.10870
0.76280,0.17915,0.48148,-0.02174
0.80717,0.17752,0.27778,0.02174
0.83276,0.17915,0.29630,0.04348
0.86007,0.18241,0.35185,0.13043
0.89249,0.19218,0.22222,-0.02174
0.91297,0.19055,0.16667,-0.10870
0.92833,0.18241,0.11111,0.04348
0.93857,0.18567,0.11111,0.04348
0.94881,0.18893,0.03704,0.13043
0.95222,0.19870,0.00000,0.21739
0.95222,0.21498,-0.03704,0.26087
0.94881,0.23453,-0.07407,0.34783
0.94198,0.26059,-0.14815,0.43478
0.92833,0.29316,-0.11111,0.47826
0.91809,0.32899,-0.07407,0.47826
0.91126,0.36482,-0.07407,0.60870
0.90444,0.41042,-0.03704,0.60870
0.90102,0.45603,0.00000,0.65217
0.90102,0.50489,0.03704,0.60870
0.90444,0.55049,0.00000,0.65217
0.90444,0.59935,-0.03704,0.60870
0.90102,0.64495,0.00000,0.60870
0.90102,0.69055,0.00000,0.60870
0.90102,0.73616,0.03704,0.60870
0.90444,0.78176,0.03704,0.56522
0.90785,0.82410,0.11111,0.52174
0.91809,0.86319,0.03704,0.43478
0.92150,0.89577,-0.03704,0.26087
0.91809,0.91531,-0.07407,0.08696
0.91126,0.92182,-0.11111,0.00000
0.90102,0.92182,-0.22222,-0.13043
0.88055,0.91205,-0.25926,-0.13043
0.85666,0.90228,-0.33333,-0.13043
0.82594,0.89251,-0.33333,-0.08696
0.79522,0.88599,-0.44444,-0.04348
0.75427,0.88274,-0.44444,-0.04348
0.71331,0.87948,-0.44444,-0.08696
0.67235,0.87296,-0.46296,-0.06522
0.62969,0.86808,-0.53704,-0.04348
0.58020,0.86482,-0.51852,-0.10870
0.53242,0.85668,-0.46296,0.06522
0.48976,0.86156,-0.51852,-0.04348
0.44198,0.85831,-0.44444,0.00000
0.40102,0.85831,-0.46296,0.15217
0.35836,0.86971,-0.48148,-0.06522
0.31399,0.86482,-0.38889,-0.02174
0.27816,0.86319,-0.46296,0.04348
0.23549,0.86645,-0.61111,0.06522
0.17918,0.87134,-0.38889,-0.02174
0.14334,0.86971,-0.29630,0.00000
0.11604,0.86971,-0.25926,-0.04348
0.09215,0.86645,-0.18519,-0.08696
0.07509,0.85993,-0.07407,-0.13043
0.06826,0.85016,-0.03704,-0.13043
0.06485,0.84039,0.03704,-0.26087
0.06826,0.82085,0.03704,-0.34783
0.07167,0.79479,0.03704,-0.47826
0.07509,0.75896,0.03704,-0.43478
0.07850,0.72638,0.00000,-0.56522
0.07850,0.68404,0.07407,-0.52174
0.08532,0.64495,0.07407,-0.56522
0.09215,0.60261,-0.03704,-0.56522
0.08874,0.56026,0.07407,-0.56522
0.09556,0.51792,0.03704,-0.60870
0.09898,0.47231,-0.03704,-0.56522
0.09556,0.42997,0.00000,-0.60870
0.09556,0.38436,0.11111,-0.56522
0.10580,0.34202,0.03704,-0.56522
0.10922,0.29967,0.00000,-0.52174
0.10922,0.26059,0.20370,-0.54348
0.12799,0.21987,-0.01852,-0.36957
0.12628,0.19218,0.11111,-0.39130
0.13652,0.16287,0.07407,-0.30435
