# X, Y, VelX, VelY |[221.;103.;  0.;  0.][238. ;229. ; 18. ; 18.5]
0.41176,0.04803,0.55556,-0.05405
0.45378,0.04367,0.55556,0.00000
0.49580,0.04367,0.61111,0.05405
0.54202,0.04803,0.55556,0.10811
0.58403,0.05677,0.52778,0.21622
0.62395,0.07424,0.50000,0.29730
0.66176,0.09825,0.61111,0.29730
0.70798,0.12227,0.41667,0.27027
0.73950,0.14410,0.44444,0.37838
0.77311,0.17467,0.38889,0.43243
0.80252,0.20961,0.33333,0.43243
0.82773,0.24454,0.22222,0.48649
0.84454,0.28384,0.22222,0.48649
0.86134,0.32314,0.16667,0.59459
0.87395,0.37118,0.11111,0.54054
0.88235,0.41485,0.05556,0.64865
0.88655,0.46725,0.00000,0.54054
0.88655,0.51092,-0.11111,0.54054
0.87815,0.55459,-0.11111,0.59459
0.86975,0.60262,-0.22222,0.48649
0.85294,0.64192,-0.33333,0.48649
0.82773,0.68122,-0.33333,0.48649
0.80252,0.72052,-0.50000,0.48649
0.76471,0.75983,-0.50000,0.43243
0.72689,0.79476,-0.55556,0.37838
0.68487,0.82533,-0.61111,0.37838
0.63866,0.85590,-0.72222,0.32432
0.58403,0.88210,-0.77778,0.21622
0.52521,0.89956,-0.69444,0.10811
0.47269,0.90830,-0.88889,0.13514
0.40546,0.91921,-0.80556,-0.45946
0.34454,0.88210,-0.72222,-0.40541
0.28992,0.84934,-0.94444,-0.45946
0.21849,0.81223,-0.61111,-0.64865
0.17227,0.75983,-0.55556,-0.67568
0.13025,0.70524,-0.27778,-0.83784
0.10924,0.63755,-0.16667,-0.81081
0.09664,0.57205,-0.11111,-0.81081
0.08824,0.50655,0.05556,-0.81081
0.09244,0.44105,0.11111,-0.75676
0.10084,0.37991,0.22222,-0.70270
0.11765,0.32314,0.27778,-0.64865
0.13866,0.27074,0.33333,-0.54054
0.16387,0.22707,0.38889,-0.48649
0.19328,0.18777,0.50000,-0.37838
0.23109,0.15721,0.50000,-0.32432
0.26891,0.13100,0.50000,-0.27027
0.30672,0.10917,0.61111,-0.16216
