# X, Y, VelX, VelY |[ 86.;106.;  0.;  0.][242.;306.; 88.;144.]
0.85950,0.85621,-0.02273,0.02778
0.85124,0.86928,0.04545,-0.01389
0.86777,0.86275,0.02273,-0.05556
0.87603,0.83660,0.06818,-0.15278
0.90083,0.76471,0.02273,-0.02778
0.90909,0.75163,0.02273,-0.36111
0.91736,0.58170,0.00000,-0.02778
0.91736,0.56863,-0.04545,-0.05556
0.90083,0.54248,-0.06818,-0.05556
0.87603,0.51634,-0.04545,-0.01389
0.85950,0.50980,-0.06818,0.01389
0.83471,0.51634,-0.22727,0.05556
0.75207,0.54248,-0.04545,0.02778
0.73554,0.55556,-0.11364,0.04167
0.69421,0.57516,-0.11364,0.06944
0.65289,0.60784,-0.15909,0.08333
0.59504,0.64706,-0.11364,0.05556
0.55372,0.67320,-0.27273,0.11111
0.45455,0.72549,-0.90909,0.00000
0.12397,0.72549,-0.04545,-0.05556
0.10744,0.69935,-0.06818,-0.08333
0.08264,0.66013,0.00000,-0.48611
0.08264,0.43137,0.02273,-0.04167
0.09091,0.41176,0.02273,-0.04167
0.09917,0.39216,0.02273,-0.01389
0.10744,0.38562,-0.02273,0.02778
0.09917,0.39869,0.31818,0.95833
0.21488,0.84967,0.27273,0.18056
0.31405,0.93464,0.52273,0.12500
0.50413,0.99346,0.27273,-0.01389
0.60331,0.98693,0.36364,-0.18056
0.73554,0.90196,0.13636,-0.15278
0.78512,0.83007,0.20455,-0.54167
0.85950,0.57516,0.06818,-0.40278
0.88430,0.38562,0.02273,-0.31944
0.89256,0.23529,0.00000,-0.04167
0.89256,0.21569,0.00000,-0.30556
0.89256,0.07190,0.00000,-0.02778
0.89256,0.05882,0.00000,-0.01389
0.89256,0.05229,0.00000,0.00000
0.89256,0.05229,0.00000,0.01389
0.89256,0.05882,0.00000,0.04167
0.89256,0.07843,0.00000,0.06944
0.89256,0.11111,-0.06818,0.52778
0.86777,0.35948,-0.02273,0.13889
0.85950,0.42484,0.00000,0.26389
0.85950,0.54902,-0.02273,0.36111
0.85124,0.71895,-0.02273,0.18056
0.84298,0.80392,0.02273,0.05556
0.85124,0.83007,-0.02273,0.05556
0.84298,0.85621,-0.02273,0.01389
0.83471,0.86275,0.02273,-0.01389
0.84298,0.85621,0.18182,-0.43056
0.90909,0.65359,0.00000,-0.08333
0.90909,0.61438,-0.02273,-0.12500
0.90083,0.55556,-0.06818,-0.04167
0.87603,0.53595,-0.04545,0.00000
0.85950,0.53595,-0.06818,0.01389
0.83471,0.54248,-0.06818,0.02778
0.80992,0.55556,-0.09091,0.04167
0.77686,0.57516,-0.04545,0.02778
0.76033,0.58824,-0.15909,0.08333
0.70248,0.62745,-0.09091,0.04167
0.66942,0.64706,-0.13636,0.08333
0.61983,0.68627,-0.04545,0.02778
0.60331,0.69935,-0.13636,0.06944
0.55372,0.73203,-0.06818,0.02778
0.52893,0.74510,-0.20455,0.08333
0.45455,0.78431,-0.50000,0.05556
0.27273,0.81046,-0.11364,0.00000
0.23140,0.81046,-0.15909,-0.08333
0.17355,0.77124,-0.04545,-0.02778
0.15702,0.75817,-0.15909,-0.13889
0.09917,0.69281,-0.09091,-0.16667
0.06612,0.61438,0.04545,-0.47222
0.08264,0.39216,0.00000,-0.05556
0.08264,0.36601,0.02273,-0.01389
0.09091,0.35948,0.00000,-0.01389
0.09091,0.35294,0.02273,0.00000
0.09917,0.35294,-0.02273,0.01389
0.09091,0.35948,-0.02273,0.02778
0.08264,0.37255,0.11364,0.76389
0.12397,0.73203,0.15909,0.16667
0.18182,0.81046,0.56818,0.30556
0.38843,0.95425,0.61364,0.05556
0.61157,0.98039,0.15909,-0.06944
0.66942,0.94771,0.47727,-1.00000
0.84298,0.47712,0.04545,-0.70833
0.85950,0.14379,0.04545,-0.04167
0.87603,0.12418,-0.04545,-0.05556
0.85950,0.09804,0.02273,-0.04167
0.86777,0.07843,0.00000,-0.01389
0.86777,0.07190,0.00000,0.00000
0.86777,0.07190,0.00000,0.00000
0.86777,0.07190,0.00000,0.02778
0.86777,0.08497,-0.04545,0.08333
0.85124,0.12418,0.04545,0.04167
0.86777,0.14379,-0.02273,0.16667
0.85950,0.22222,-0.04545,0.52778
0.84298,0.47059,0.00000,0.15278
0.84298,0.54248,0.00000,0.38889
0.84298,0.72549,-0.02273,0.11111
0.83471,0.77778,0.02273,0.13889
0.84298,0.84314,-0.02273,0.13889
0.83471,0.90850,-0.04545,0.02778
0.81818,0.92157,0.02273,-0.01389
0.82645,0.91503,0.09091,-0.12500
0.85950,0.85621,0.04545,-0.11111
0.87603,0.80392,0.04545,-0.12500
0.89256,0.74510,0.04545,-0.19444
0.90909,0.65359,0.02273,-0.12500
0.91736,0.59477,0.00000,-0.08333
0.91736,0.55556,-0.02273,-0.06944
0.90909,0.52288,-0.02273,-0.04167
0.90083,0.50327,-0.02273,-0.01389
0.89256,0.49673,-0.04545,0.01389
0.87603,0.50327,-0.06818,0.01389
0.85124,0.50980,-0.09091,0.06944
0.81818,0.54248,-0.04545,0.02778
0.80165,0.55556,-0.06818,0.05556
0.77686,0.58170,-0.06818,0.06944
0.75207,0.61438,-0.20455,0.12500
0.67769,0.67320,0.00000,0.01389
0.67769,0.67974,-0.27273,0.12500
0.57851,0.73856,-0.75000,0.18056
0.30579,0.82353,-0.52273,-0.11111
0.11570,0.77124,-0.22727,-0.26389
0.03306,0.64706,0.04545,-0.55556
0.04959,0.38562,0.04545,-0.02778
0.06612,0.37255,0.02273,-0.04167
0.07438,0.35294,0.00000,-0.01389
0.07438,0.34641,0.00000,0.00000
0.07438,0.34641,0.00000,0.01389
0.07438,0.35294,-0.02273,0.02778
0.06612,0.36601,0.11364,0.83333
0.10744,0.75817,0.04545,0.05556
0.12397,0.78431,0.47727,0.33333
0.29752,0.94118,0.22727,0.08333
0.38017,0.98039,0.22727,0.04167
0.46281,1.00000,0.43182,-0.04167
0.61983,0.98039,0.00000,0.00000
0.87603,0.49020,0.06818,-0.55556
0.90083,0.22876,0.02273,-0.40278
0.90909,0.03922,0.00000,-0.01389
0.90909,0.03268,0.00000,0.01389
0.90909,0.03922,-0.04545,0.02778
0.89256,0.05229,-0.04545,0.26389
0.87603,0.17647,-0.02273,0.12500
0.86777,0.23529,-0.06818,0.44444
0.84298,0.44444,0.00000,0.04167
0.84298,0.46405,-0.06818,0.50000
0.81818,0.69935,-0.02273,0.31944
0.80992,0.84967,0.02273,0.01389
0.81818,0.85621,0.02273,0.00000
0.82645,0.85621,0.06818,-0.05556
0.85124,0.83007,0.11364,-0.19444
0.89256,0.73856,0.02273,-0.12500
0.90083,0.67974,0.02273,-0.22222
0.90909,0.57516,0.02273,-0.05556
0.91736,0.54902,-0.02273,-0.06944
0.90909,0.51634,-0.06818,-0.04167
0.88430,0.49673,-0.06818,-0.01389
0.85950,0.49020,-0.04545,0.01389
0.84298,0.49673,-0.06818,0.01389
0.81818,0.50327,-0.09091,0.04167
0.78512,0.52288,-0.13636,0.08333
0.73554,0.56209,-0.04545,0.02778
0.71901,0.57516,-0.18182,0.08333
0.65289,0.61438,-0.06818,0.04167
0.62810,0.63399,-0.25000,0.11111
0.53719,0.68627,-0.61364,0.13889
0.31405,0.75163,-0.54545,-0.11111
0.11570,0.69935,-0.09091,-0.05556
0.08264,0.67320,-0.06818,-0.27778
0.05785,0.54248,0.04545,-0.33333
0.07438,0.38562,0.04545,-0.06944
0.09091,0.35294,0.02273,-0.02778
0.09917,0.33987,0.02273,0.00000
0.10744,0.33987,-0.02273,0.02778
0.09917,0.35294,-0.02273,0.01389
0.09091,0.35948,0.00000,0.04167
0.09091,0.37908,0.00000,0.00000
0.33884,0.93464,0.09091,0.04167
0.37190,0.95425,0.45455,0.08333
0.53719,0.99346,0.22727,-0.02778
