# X, Y, VelX, VelY |[  2.;162.;  0.;  0.][290.;314.;102.; 48.]
0.85517,0.56051,-0.07843,0.33333
0.82759,0.61146,-0.05882,0.20833
0.80690,0.64331,-0.07843,0.20833
0.77931,0.67516,-0.01961,0.08333
0.77241,0.68790,-0.07843,0.20833
0.74483,0.71975,-0.13725,0.29167
0.69655,0.76433,-0.03922,0.08333
0.68276,0.77707,-0.13725,0.25000
0.63448,0.81529,-0.03922,0.08333
0.62069,0.82803,-0.13725,0.16667
0.57241,0.85350,-0.03922,0.04167
0.55862,0.85987,-0.11765,0.12500
0.51724,0.87898,-0.07843,0.08333
0.48966,0.89172,-0.09804,0.04167
0.45517,0.89809,-0.07843,0.04167
0.42759,0.90446,-0.03922,-0.04167
0.41379,0.89809,-0.09804,0.04167
0.37931,0.90446,-0.07843,-0.04167
0.35172,0.89809,-0.09804,0.00000
0.31724,0.89809,-0.07843,-0.04167
0.28966,0.89172,-0.05882,0.00000
0.26897,0.89172,-0.05882,-0.04167
0.24828,0.88535,-0.05882,-0.08333
0.22759,0.87261,-0.05882,-0.08333
0.20690,0.85987,-0.03922,-0.08333
0.19310,0.84713,-0.05882,-0.08333
0.17241,0.83439,-0.03922,-0.08333
0.15862,0.82166,-0.03922,-0.08333
0.14483,0.80892,-0.03922,-0.08333
0.13103,0.79618,-0.01961,-0.08333
0.12414,0.78344,-0.01961,-0.08333
0.11724,0.77070,-0.01961,-0.04167
0.11034,0.76433,0.00000,-0.04167
0.11034,0.75796,-0.01961,0.00000
0.10345,0.75796,0.00000,-0.04167
0.10345,0.75159,0.00000,0.00000
0.10345,0.75159,0.00000,0.00000
0.10345,0.75159,0.00000,0.00000
0.10345,0.75159,0.00000,0.00000
0.10345,0.75159,0.00000,0.00000
0.10345,0.75159,0.01961,0.00000
0.11034,0.75159,0.00000,0.04167
0.11034,0.75796,0.00000,-0.04167
0.11034,0.75159,0.00000,0.00000
0.11034,0.75159,0.00000,0.04167
0.11034,0.75796,0.00000,0.00000
0.11034,0.75796,0.01961,0.00000
0.11724,0.75796,0.00000,-0.04167
0.11724,0.75159,0.00000,0.04167
0.11724,0.75796,0.00000,0.00000
0.11724,0.75796,0.00000,0.00000
0.11724,0.75796,0.00000,0.00000
0.11724,0.75796,0.00000,-0.04167
0.11724,0.75159,0.00000,0.00000
0.11724,0.75159,0.00000,0.00000
0.11724,0.75159,0.00000,0.00000
0.11724,0.75159,0.92157,-1.00000
0.44138,0.59873,0.01961,0.04167
0.44828,0.60510,0.00000,0.00000
0.44828,0.60510,0.01961,0.04167
0.45517,0.61146,0.01961,0.00000
0.46207,0.61146,0.00000,0.04167
0.46207,0.61783,0.03922,0.00000
0.47586,0.61783,0.01961,0.04167
0.48276,0.62420,0.03922,0.04167
0.49655,0.63057,0.05882,0.00000
0.51724,0.63057,0.03922,0.04167
0.53103,0.63694,0.05882,0.00000
0.55172,0.63694,0.03922,-0.04167
0.56552,0.63057,0.05882,0.00000
0.58621,0.63057,0.05882,-0.04167
0.60690,0.62420,0.05882,-0.04167
0.62759,0.61783,0.05882,-0.08333
0.64828,0.60510,0.03922,-0.04167
0.66207,0.59873,0.05882,-0.12500
0.68276,0.57962,0.03922,-0.08333
0.69655,0.56688,0.07843,-0.12500
0.72414,0.54777,0.03922,-0.12500
0.73793,0.52866,0.03922,-0.20833
0.75172,0.49682,0.03922,-0.08333
0.76552,0.48408,0.03922,-0.25000
0.77931,0.44586,0.03922,-0.20833
0.79310,0.41401,0.03922,-0.25000
0.80690,0.37580,0.03922,-0.12500
0.82069,0.35669,0.03922,-0.29167
0.83448,0.31210,0.01961,-0.16667
0.84138,0.28662,0.01961,-0.12500
0.84828,0.26752,0.01961,-0.16667
0.85517,0.24204,0.03922,-0.16667
0.86897,0.21656,0.01961,-0.16667
0.87586,0.19108,0.01961,-0.12500
0.88276,0.17197,0.03922,-0.12500
0.89655,0.15287,-0.01961,-0.12500
0.88966,0.13376,0.01961,-0.08333
0.89655,0.12102,0.00000,-0.08333
0.89655,0.10828,0.00000,-0.04167
0.89655,0.10191,0.00000,-0.04167
0.89655,0.09554,0.00000,0.04167
0.89655,0.10191,0.00000,0.00000
0.89655,0.10191,-0.01961,0.08333
0.88966,0.11465,-0.01961,0.08333
0.88276,0.12739,0.00000,0.08333
0.88276,0.14013,-0.01961,0.20833
0.87586,0.17197,-0.03922,0.08333
0.86207,0.18471,-0.01961,0.16667
0.85517,0.21019,-0.01961,0.16667
0.84828,0.23567,0.00000,0.12500
0.84828,0.25478,-0.05882,0.20833
0.82759,0.28662,-0.03922,0.25000
0.81379,0.32484,-0.01961,0.08333
0.80690,0.33758,-0.03922,0.25000
0.79310,0.37580,-0.03922,0.16667
0.77931,0.40127,-0.03922,0.16667
0.76552,0.42675,-0.05882,0.12500
0.74483,0.44586,-0.01961,0.08333
0.73793,0.45860,-0.07843,0.16667
0.71034,0.48408,-0.03922,0.08333
0.69655,0.49682,-0.05882,0.12500
0.67586,0.51592,-0.09804,0.12500
0.64138,0.53503,-0.05882,0.08333
0.62069,0.54777,-0.07843,0.00000
0.59310,0.54777,-0.05882,0.04167
0.57241,0.55414,-0.05882,0.04167
0.55172,0.56051,-0.07843,0.00000
0.52414,0.56051,-0.07843,0.00000
0.49655,0.56051,-0.05882,-0.04167
0.47586,0.55414,-0.05882,-0.04167
0.45517,0.54777,-0.05882,-0.08333
0.43448,0.53503,-0.05882,-0.04167
0.41379,0.52866,-0.03922,-0.08333
