# X, Y, VelX, VelY |[ 74.;128.;  0.;  0.][328.;272.;108.;184.]
0.60366,0.12500,0.01852,0.01087
0.60976,0.13235,-0.01852,0.00000
0.60366,0.13235,0.00000,0.02174
0.60366,0.14706,-0.03704,0.03261
0.59146,0.16912,-0.01852,0.02174
0.58537,0.18382,0.00000,0.03261
0.58537,0.20588,-0.03704,0.04348
0.57317,0.23529,-0.05556,0.08696
0.55488,0.29412,-0.11111,0.35870
0.51829,0.53676,-0.01852,0.07609
0.51220,0.58824,-0.01852,0.08696
0.50610,0.64706,-0.07407,0.22826
0.48171,0.80147,-0.03704,0.04348
0.46951,0.83088,-0.03704,0.03261
0.45732,0.85294,-0.03704,0.02174
0.44512,0.86765,0.00000,0.01087
0.44512,0.87500,-0.05556,-0.04348
0.42683,0.84559,-0.05556,-0.02174
0.40854,0.83088,0.00000,-0.06522
0.40854,0.78676,-0.05556,-0.17391
0.39024,0.66912,0.00000,-0.08696
0.39024,0.61029,0.00000,-0.04348
0.39024,0.58088,0.00000,-0.07609
0.39024,0.52941,0.03704,-0.06522
0.40244,0.48529,0.03704,-0.06522
0.41463,0.44118,0.03704,-0.04348
0.42683,0.41176,0.12963,-0.06522
0.46951,0.36765,0.07407,0.01087
0.49390,0.37500,0.05556,0.00000
0.51220,0.37500,0.09259,0.01087
0.54268,0.38235,0.05556,0.01087
0.56098,0.38971,0.07407,0.02174
0.58537,0.40441,0.07407,0.01087
0.60976,0.41176,0.05556,0.03261
0.62805,0.43382,0.05556,0.02174
0.64634,0.44853,0.05556,0.04348
0.66463,0.47794,0.07407,0.03261
0.68902,0.50000,0.01852,0.02174
0.69512,0.51471,0.07407,0.06522
0.71951,0.55882,0.03704,0.03261
0.73171,0.58088,0.05556,0.04348
0.75000,0.61029,0.03704,0.04348
0.76220,0.63971,0.03704,0.04348
0.77439,0.66912,0.03704,0.03261
0.78659,0.69118,0.05556,0.03261
0.80488,0.71324,0.03704,0.02174
0.81707,0.72794,0.01852,0.02174
0.82317,0.74265,0.03704,0.00000
0.83537,0.74265,0.01852,0.01087
0.84146,0.75000,0.00000,-0.01087
0.84146,0.74265,0.01852,-0.01087
0.84756,0.73529,0.03704,-0.02174
0.85976,0.72059,-0.01852,-0.03261
0.85366,0.69853,0.01852,-0.03261
0.85976,0.67647,0.00000,-0.03261
0.85976,0.65441,0.03704,-0.06522
0.87195,0.61029,-0.05556,-0.14130
0.85366,0.51471,0.00000,-0.02174
0.85366,0.50000,-0.01852,-0.01087
0.84756,0.49265,0.00000,-0.01087
0.84756,0.48529,-0.01852,0.00000
0.84146,0.48529,-0.05556,0.04348
0.82317,0.51471,-0.05556,0.09783
0.80488,0.58088,-0.01852,0.02174
0.79878,0.59559,-0.09259,0.08696
0.76829,0.65441,-0.01852,0.01087
0.76220,0.66176,-0.07407,0.06522
0.73780,0.70588,-0.05556,0.02174
0.71951,0.72059,-0.09259,0.05435
0.68902,0.75735,-0.09259,0.02174
0.65854,0.77206,-0.11111,0.04348
0.62195,0.80147,-0.12963,0.03261
0.57927,0.82353,-0.07407,0.02174
0.55488,0.83824,-0.09259,0.01087
0.52439,0.84559,-0.11111,-0.01087
0.48780,0.83824,-0.09259,0.02174
0.45732,0.85294,-0.09259,-0.01087
0.42683,0.84559,-0.11111,-0.02174
0.39024,0.83088,-0.07407,-0.02174
0.36585,0.81618,-0.07407,-0.02174
0.34146,0.80147,-0.09259,-0.03261
0.31098,0.77941,-0.07407,-0.03261
0.28659,0.75735,-0.07407,-0.04348
0.26220,0.72794,-0.07407,-0.04348
0.23780,0.69853,-0.03704,-0.04348
0.22561,0.66912,-0.05556,-0.04348
0.20732,0.63971,-0.01852,-0.04348
0.20122,0.61029,-0.03704,-0.03261
0.18902,0.58824,-0.01852,-0.04348
0.18293,0.55882,0.00000,-0.03261
0.18293,0.53676,0.00000,-0.02174
0.18293,0.52206,0.00000,-0.01087
0.18293,0.51471,-0.01852,0.01087
0.17683,0.52206,0.01852,0.02174
0.18293,0.53676,0.00000,0.02174
0.18293,0.55147,0.01852,0.04348
0.18902,0.58088,0.01852,0.04348
0.19512,0.61029,0.01852,0.07609
0.20122,0.66176,0.03704,0.08696
0.21341,0.72059,0.03704,0.05435
0.22561,0.75735,0.05556,0.06522
0.24390,0.80147,0.07407,0.04348
0.26829,0.83088,0.09259,0.05435
0.29878,0.86765,0.07407,0.04348
0.32317,0.89706,0.07407,0.03261
0.34756,0.91912,0.07407,0.03261
0.37195,0.94118,0.07407,0.01087
0.39634,0.94853,0.03704,0.01087
0.40854,0.95588,0.05556,-0.01087
0.42683,0.94853,0.05556,-0.02174
0.44512,0.93382,0.00000,-0.06522
0.44512,0.88971,0.07407,-0.16304
0.46951,0.77941,0.16667,-0.48913
0.52439,0.44853,0.03704,-0.04348
0.53659,0.41912,0.03704,-0.17391
0.54878,0.30147,0.12963,-0.21739
0.59146,0.15441,0.01852,-0.02174
0.59756,0.13971,0.01852,-0.02174
0.60366,0.12500,0.01852,-0.03261
0.60976,0.10294,0.01852,-0.01087
0.61585,0.09559,0.01852,0.01087
0.62195,0.10294,0.00000,0.00000
0.62195,0.10294,-0.03704,0.04348
0.60976,0.13235,-0.07407,0.05435
0.58537,0.16912,-0.09259,0.16304
0.55488,0.27941,-0.09259,0.15217
0.52439,0.38235,-0.09259,0.18478
0.49390,0.50735,-0.07407,0.23913
0.46951,0.66912,-0.01852,0.15217
0.46341,0.77206,-0.01852,0.02174
0.45732,0.78676,-0.05556,0.04348
0.43902,0.81618,-0.01852,0.01087
0.43293,0.82353,-0.05556,0.02174
0.41463,0.83824,-0.03704,-0.02174
0.40244,0.82353,-0.01852,-0.01087
0.39634,0.81618,-0.05556,-0.04348
0.37805,0.78676,-0.01852,-0.03261
0.37195,0.76471,-0.01852,-0.16304
0.36585,0.65441,0.03704,-0.03261
